"Lookup IP",Mobile,Date,Proxy,ISP,Organization,ASN,Host,"Country Code",City,Region,Latitude,Longitude,"Strictness Level",TOR,VPN,"Active TOR","Active VPN","Connection Type","Abuse Velocity","Recent Abuse","Bot Status","Fraud Score",Browser,OS,Brand,Model,"User Activity","Original Column 1"
114.198.48.14,false,2022-03-23T14:47:21-04:00,false,iiNet Limited,iiNet Limited,7545,114-198-48-14.dyn.iinet.net.au,AU,Brisbane,Queensland,-27.46999931,153.02000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,114.198.48.14
90.8.12.43,false,2022-03-23T14:47:23-04:00,false,Orange,Orange,3215,amarseille-655-1-683-43.w90-8.abo.wanadoo.fr,FR,Porto-Vecchio,Corsica,41.59000015,9.27999973,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,90.8.12.43
27.33.173.177,false,2022-03-23T14:47:25-04:00,false,TPG Internet,TPG Internet,7545,27-33-173-177.tpgi.com.au,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,27.33.173.177
218.215.94.110,false,2022-03-23T14:47:26-04:00,false,iPrimus,iPrimus,9443,110.94.215.218.dyn.iprimus.net.au,AU,Perth,Western Australia,-31.95000076,115.86000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,218.215.94.110
122.109.148.164,false,2022-03-23T14:47:27-04:00,false,Optus,Optus,4804,n122-109-148-164.rdl2.qld.optusnet.com.au,AU,Brisbane,Queensland,-27.46999931,153.02000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,122.109.148.164
143.238.174.4,false,2022-03-23T14:47:29-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-143-238-174-4.nb07.nsw.asp.telstra.net,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,143.238.174.4
101.116.16.59,false,2022-03-23T14:47:30-04:00,false,Vodafone Australia,Vodafone Australia,133612,101.116.16.59,AU,Glen Waverley,Victoria,-37.88000107,145.16999817,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.116.16.59
60.226.195.112,false,2022-03-23T14:47:30-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-60-226-195-112.qb07.qld.asp.telstra.net,AU,Brisbane,Queensland,-27.46999931,153.02000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,60.226.195.112
175.32.96.182,false,2022-03-23T14:47:31-04:00,false,Optus,Optus,4804,n175-32-96-182.meb1.vic.optusnet.com.au,AU,Brighton,Victoria,-37.91999817,145,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,175.32.96.182
122.148.21.172,false,2022-03-23T14:47:32-04:00,false,Dodo,Dodo,38285,122-148-21-172.sta.dodo.net.au,AU,Oyster Bay,New South Wales,-34,151.07000732,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,122.148.21.172
